job_id,date,technician_id,service_type,category,customer_id,status,first_time_fix,duration_minutes,revenue,cost
33,2024-12-23,18,Thermostat Install,HVAC,323,Completed,1,59,246.9,189.62
34,2024-12-23,9,AC Installation,HVAC,385,Completed,1,402,4256.28,2865.45
35,2024-12-23,3,Outlet & Wiring,Electrical,230,Completed,1,81,186.65,99.84
36,2024-12-23,12,AC Repair,HVAC,458,Completed,1,88,321.16,165.86
37,2024-12-23,12,AC Installation,HVAC,127,Rescheduled,0,287,0.0,0.0
38,2024-12-23,7,AC Installation,HVAC,231,Completed,1,309,3603.15,2709.08
39,2024-12-23,22,Drain Cleaning,Plumbing,503,Rescheduled,0,65,0.0,0.0
40,2024-12-23,13,Thermostat Install,HVAC,47,Rescheduled,0,65,0.0,0.0
41,2024-12-23,6,Lighting Install,Electrical,255,Completed,1,120,362.55,249.41
42,2024-12-23,9,AC Installation,HVAC,129,Completed,0,308,4010.97,2651.35
43,2024-12-23,23,Furnace Repair,HVAC,357,Rescheduled,0,107,0.0,0.0
44,2024-12-23,9,AC Repair,HVAC,483,Completed,1,109,298.09,155.7
45,2024-12-24,21,Water Heater Repair,Plumbing,123,Completed,1,111,348.8,189.32
46,2024-12-24,15,Furnace Repair,HVAC,456,Completed,1,101,315.47,228.19
47,2024-12-24,9,Drain Cleaning,Plumbing,358,Completed,1,75,184.46,81.92
48,2024-12-24,22,Drain Cleaning,Plumbing,523,Completed,0,66,189.11,87.89
49,2024-12-24,17,Outlet & Wiring,Electrical,503,Completed,1,55,186.37,87.59
50,2024-12-24,10,Heat Pump Service,HVAC,38,Completed,1,98,272.73,144.39
51,2024-12-24,23,Preventive Maintenance,HVAC,86,Rescheduled,0,48,0.0,0.0
52,2024-12-24,14,Thermostat Install,HVAC,134,Completed,1,73,259.96,187.04
53,2024-12-24,2,Leak Detection,Plumbing,32,Completed,1,94,262.54,119.07
54,2024-12-24,1,AC Repair,HVAC,137,Completed,1,81,287.35,190.53
55,2024-12-24,7,Preventive Maintenance,HVAC,507,Completed,1,76,138.98,82.46
56,2024-12-24,9,Outlet & Wiring,Electrical,257,Completed,1,76,203.68,95.47
57,2024-12-24,17,Outlet & Wiring,Electrical,430,Rescheduled,0,63,0.0,0.0
58,2024-12-24,5,AC Repair,HVAC,92,Completed,1,86,280.76,155.43
59,2024-12-24,2,AC Repair,HVAC,447,Completed,0,94,304.51,157.73
60,2024-12-24,17,Drain Cleaning,Plumbing,504,Rescheduled,0,57,0.0,0.0
61,2024-12-24,5,Lighting Install,Electrical,514,Completed,1,140,369.85,272.82
62,2024-12-24,10,Furnace Installation,HVAC,219,Completed,1,386,4841.26,3557.6
63,2024-12-24,12,AC Repair,HVAC,69,Completed,1,99,264.47,187.53
64,2024-12-24,6,Water Heater Install,Plumbing,485,Completed,0,215,1660.64,1076.2
65,2024-12-24,10,Water Heater Install,Plumbing,232,Completed,1,204,1730.95,1105.05
66,2024-12-24,20,Leak Detection,Plumbing,573,Cancelled,0,96,0.0,0.0
67,2024-12-24,19,Panel Upgrade,Electrical,140,Completed,1,269,2413.66,1399.4
68,2024-12-24,24,Heat Pump Service,HVAC,484,Completed,0,71,242.85,132.5
69,2024-12-24,2,AC Installation,HVAC,149,Completed,1,313,3760.91,2929.56
70,2024-12-24,20,Panel Upgrade,Electrical,324,Completed,0,237,2372.27,1572.86
71,2024-12-24,21,Thermostat Install,HVAC,375,Completed,0,71,260.28,211.59
72,2024-12-24,6,Drain Cleaning,Plumbing,30,Cancelled,0,61,0.0,0.0
73,2024-12-24,1,Heat Pump Service,HVAC,371,Completed,1,56,276.61,137.95
74,2024-12-24,15,Heat Pump Service,HVAC,20,Completed,1,58,244.17,134.11
75,2024-12-25,23,Drain Cleaning,Plumbing,193,Rescheduled,0,59,0.0,0.0
76,2024-12-25,8,Heat Pump Service,HVAC,263,Cancelled,0,97,0.0,0.0
77,2024-12-25,5,Furnace Repair,HVAC,346,Rescheduled,0,116,0.0,0.0
78,2024-12-25,17,AC Repair,HVAC,125,Completed,1,99,276.77,155.7
79,2024-12-25,22,Leak Detection,Plumbing,539,Completed,1,88,258.22,110.94
80,2024-12-25,19,Water Heater Install,Plumbing,314,Completed,1,150,1676.09,1063.29
81,2024-12-25,6,Lighting Install,Electrical,21,Completed,0,136,396.23,285.11
82,2024-12-25,6,AC Repair,HVAC,548,Rescheduled,0,88,0.0,0.0
83,2024-12-25,2,Panel Upgrade,Electrical,164,Cancelled,0,259,0.0,0.0
84,2024-12-25,5,Furnace Installation,HVAC,403,Completed,1,280,4217.71,3006.03
85,2024-12-25,6,Furnace Installation,HVAC,264,Cancelled,0,374,0.0,0.0
86,2024-12-25,22,Leak Detection,Plumbing,170,Completed,1,72,228.66,99.06
87,2024-12-25,15,Drain Cleaning,Plumbing,527,Completed,1,60,228.23,106.85
88,2024-12-25,5,Leak Detection,Plumbing,349,Completed,1,80,238.72,101.56
89,2024-12-25,16,Heat Pump Service,HVAC,355,Rescheduled,0,99,0.0,0.0
90,2024-12-25,24,Outlet & Wiring,Electrical,427,Completed,1,55,172.04,98.03
91,2024-12-25,12,Leak Detection,Plumbing,296,Completed,1,76,248.93,114.15
92,2024-12-25,19,AC Installation,HVAC,93,Completed,1,231,4436.76,2979.74
93,2024-12-25,17,Drain Cleaning,Plumbing,315,Completed,0,56,199.73,75.03
94,2024-12-25,5,Water Heater Install,Plumbing,432,Completed,1,158,1582.78,1199.92
95,2024-12-25,13,Heat Pump Service,HVAC,114,Completed,1,77,257.77,123.83
96,2024-12-25,15,Leak Detection,Plumbing,476,Completed,1,62,213.74,120.21
97,2024-12-25,13,Furnace Installation,HVAC,576,Completed,0,346,4760.21,3163.57
98,2024-12-25,10,Water Heater Install,Plumbing,314,Completed,1,173,1941.65,1110.76
99,2024-12-25,21,Water Heater Install,Plumbing,60,Completed,1,203,1765.08,1204.12
100,2024-12-25,23,Panel Upgrade,Electrical,216,Completed,1,210,2211.96,1366.24
101,2024-12-26,2,Drain Cleaning,Plumbing,175,Completed,0,64,205.79,81.62
102,2024-12-26,17,Water Heater Repair,Plumbing,146,Completed,1,110,322.06,197.99
103,2024-12-26,15,AC Repair,HVAC,520,Completed,0,72,262.59,168.41
104,2024-12-26,1,Leak Detection,Plumbing,386,Rescheduled,0,54,0.0,0.0
105,2024-12-26,7,Water Heater Install,Plumbing,51,Rescheduled,0,210,0.0,0.0
106,2024-12-26,14,Preventive Maintenance,HVAC,141,Rescheduled,0,57,0.0,0.0
107,2024-12-26,20,Drain Cleaning,Plumbing,180,Completed,1,71,183.85,88.06
108,2024-12-26,1,Thermostat Install,HVAC,465,Rescheduled,0,58,0.0,0.0
109,2024-12-26,8,Heat Pump Service,HVAC,164,Rescheduled,0,80,0.0,0.0
110,2024-12-26,17,Thermostat Install,HVAC,410,Completed,1,79,295.43,190.89
111,2024-12-26,23,Water Heater Install,Plumbing,185,Completed,1,199,1547.54,1219.05
112,2024-12-26,7,Lighting Install,Electrical,197,Rescheduled,0,121,0.0,0.0
113,2024-12-26,9,Water Heater Repair,Plumbing,115,Completed,1,130,299.88,190.84
114,2024-12-26,18,Furnace Installation,HVAC,331,Completed,1,288,4703.99,3113.28
115,2024-12-26,21,Leak Detection,Plumbing,25,Completed,1,78,219.44,100.84
116,2024-12-26,4,Preventive Maintenance,HVAC,193,Completed,1,51,147.97,62.96
117,2024-12-26,19,Heat Pump Service,HVAC,459,Completed,0,89,252.38,151.24
118,2024-12-26,22,Drain Cleaning,Plumbing,107,Completed,1,67,193.24,86.71
119,2024-12-26,3,AC Installation,HVAC,294,Completed,0,411,4106.05,2939.92
120,2024-12-26,19,Water Heater Install,Plumbing,556,Completed,1,137,1655.02,1167.56
121,2024-12-26,22,AC Repair,HVAC,374,Completed,1,80,285.24,149.26
122,2024-12-26,20,Outlet & Wiring,Electrical,53,Completed,1,61,191.55,93.54
123,2024-12-26,8,Furnace Installation,HVAC,324,Cancelled,0,349,0.0,0.0
124,2024-12-26,12,Thermostat Install,HVAC,354,Completed,1,64,242.42,204.19
125,2024-12-26,1,Panel Upgrade,Electrical,224,Completed,1,239,2097.12,1593.14
126,2024-12-26,23,Lighting Install,Electrical,505,Completed,1,120,357.3,290.46
127,2024-12-26,10,Heat Pump Service,HVAC,263,Completed,1,88,265.17,132.88
128,2024-12-26,13,Panel Upgrade,Electrical,65,Completed,1,294,2207.72,1637.36
129,2024-12-26,20,Lighting Install,Electrical,513,Completed,1,117,371.73,268.54
130,2024-12-26,11,AC Installation,HVAC,256,Completed,1,357,4130.46,2964.22
131,2024-12-26,4,Lighting Install,Electrical,439,Cancelled,0,108,0.0,0.0
132,2024-12-27,15,Outlet & Wiring,Electrical,528,Cancelled,0,55,0.0,0.0
133,2024-12-27,12,Water Heater Repair,Plumbing,549,Cancelled,0,107,0.0,0.0
134,2024-12-27,6,Drain Cleaning,Plumbing,106,Completed,1,61,223.92,82.77
135,2024-12-27,3,AC Installation,HVAC,63,Completed,1,394,4210.19,3262.01
136,2024-12-27,14,Heat Pump Service,HVAC,306,Completed,1,76,263.64,130.23
137,2024-12-27,6,Water Heater Repair,Plumbing,536,Cancelled,0,97,0.0,0.0
138,2024-12-27,14,AC Installation,HVAC,5,Completed,1,322,3814.91,2927.51
139,2024-12-27,18,Furnace Installation,HVAC,206,Completed,1,369,4324.96,3554.78
140,2024-12-27,19,Water Heater Repair,Plumbing,400,Completed,0,77,334.93,168.49
141,2024-12-27,10,Panel Upgrade,Electrical,180,Cancelled,0,291,0.0,0.0
142,2024-12-27,7,Heat Pump Service,HVAC,299,Rescheduled,0,101,0.0,0.0
143,2024-12-27,8,Outlet & Wiring,Electrical,366,Cancelled,0,74,0.0,0.0
144,2024-12-27,19,AC Repair,HVAC,431,Completed,1,85,270.86,166.93
145,2024-12-27,20,Water Heater Repair,Plumbing,390,Completed,1,112,310.76,193.29
146,2024-12-27,1,Furnace Installation,HVAC,269,Cancelled,0,279,0.0,0.0
147,2024-12-27,10,Lighting Install,Electrical,242,Completed,1,116,342.9,256.75
148,2024-12-27,20,Panel Upgrade,Electrical,20,Completed,1,261,2304.5,1448.95
149,2024-12-27,15,AC Installation,HVAC,560,Completed,1,246,3554.51,3024.42
150,2024-12-27,16,Preventive Maintenance,HVAC,113,Completed,0,68,150.25,65.0
151,2024-12-27,17,Lighting Install,Electrical,376,Completed,1,131,314.02,251.24
152,2024-12-27,4,Drain Cleaning,Plumbing,544,Completed,1,64,212.32,82.2
153,2024-12-27,14,Preventive Maintenance,HVAC,261,Completed,0,55,151.14,63.03
154,2024-12-27,19,Thermostat Install,HVAC,147,Completed,1,71,274.12,215.27
155,2024-12-27,5,Preventive Maintenance,HVAC,119,Rescheduled,0,59,0.0,0.0
156,2024-12-27,13,Heat Pump Service,HVAC,28,Completed,1,102,248.23,148.9
157,2024-12-28,6,Furnace Installation,HVAC,299,Rescheduled,0,428,0.0,0.0
158,2024-12-28,13,Thermostat Install,HVAC,83,Rescheduled,0,80,0.0,0.0
159,2024-12-28,2,Leak Detection,Plumbing,394,Completed,1,79,238.39,101.21
160,2024-12-28,21,Leak Detection,Plumbing,461,Completed,0,71,242.15,92.6
161,2024-12-28,6,Thermostat Install,HVAC,353,Rescheduled,0,71,0.0,0.0
162,2024-12-28,23,Leak Detection,Plumbing,418,Cancelled,0,58,0.0,0.0
163,2024-12-28,18,Lighting Install,Electrical,520,Completed,1,91,328.57,241.82
164,2024-12-28,18,Leak Detection,Plumbing,508,Completed,0,65,228.03,103.12
165,2024-12-28,11,Drain Cleaning,Plumbing,18,Cancelled,0,58,0.0,0.0
166,2024-12-28,6,Heat Pump Service,HVAC,352,Rescheduled,0,97,0.0,0.0
167,2024-12-28,4,Thermostat Install,HVAC,47,Completed,1,78,252.04,208.43
168,2024-12-28,11,Preventive Maintenance,HVAC,91,Completed,1,72,145.27,81.05
169,2024-12-28,15,Furnace Repair,HVAC,93,Cancelled,0,78,0.0,0.0
170,2024-12-29,12,Panel Upgrade,Electrical,364,Completed,1,231,2219.06,1410.43
171,2024-12-29,15,Furnace Installation,HVAC,290,Completed,1,333,4279.75,3456.44
172,2024-12-29,21,Thermostat Install,HVAC,252,Cancelled,0,86,0.0,0.0
173,2024-12-29,1,Thermostat Install,HVAC,530,Completed,1,73,280.82,243.56
174,2024-12-29,15,Heat Pump Service,HVAC,509,Completed,1,77,281.47,164.18
175,2024-12-29,16,Furnace Installation,HVAC,389,Cancelled,0,378,0.0,0.0
176,2024-12-29,21,Preventive Maintenance,HVAC,99,Completed,1,62,136.43,72.85
177,2024-12-29,23,AC Repair,HVAC,23,Completed,1,72,269.52,145.35
178,2024-12-29,21,AC Installation,HVAC,530,Completed,1,356,4381.16,2722.08
179,2024-12-29,16,AC Installation,HVAC,55,Completed,1,452,3872.06,2822.04
180,2024-12-29,21,Furnace Repair,HVAC,158,Completed,1,110,302.13,190.58
181,2024-12-29,22,Drain Cleaning,Plumbing,11,Completed,1,54,210.23,74.79
182,2024-12-29,17,Furnace Installation,HVAC,121,Cancelled,0,350,0.0,0.0
183,2024-12-29,18,Lighting Install,Electrical,69,Rescheduled,0,94,0.0,0.0
184,2024-12-30,18,Heat Pump Service,HVAC,62,Completed,1,62,239.13,126.81
185,2024-12-30,22,Drain Cleaning,Plumbing,134,Completed,1,66,210.95,82.44
186,2024-12-30,10,Furnace Repair,HVAC,249,Completed,0,102,354.95,178.07
187,2024-12-30,6,Lighting Install,Electrical,189,Completed,1,137,333.62,281.02
188,2024-12-30,20,Drain Cleaning,Plumbing,559,Rescheduled,0,58,0.0,0.0
189,2024-12-30,23,Thermostat Install,HVAC,565,Completed,1,59,256.99,187.17
190,2024-12-30,5,Thermostat Install,HVAC,422,Completed,1,85,261.51,199.49
191,2024-12-30,19,Outlet & Wiring,Electrical,145,Cancelled,0,60,0.0,0.0
192,2024-12-30,8,Outlet & Wiring,Electrical,380,Completed,0,59,161.01,94.55
193,2024-12-30,12,Outlet & Wiring,Electrical,326,Cancelled,0,57,0.0,0.0
194,2024-12-30,11,Heat Pump Service,HVAC,206,Completed,0,84,228.18,128.92
195,2024-12-30,14,Furnace Repair,HVAC,506,Completed,0,120,353.36,191.41
196,2024-12-30,11,AC Installation,HVAC,35,Completed,1,368,4226.76,2881.61
197,2024-12-30,24,Lighting Install,Electrical,140,Rescheduled,0,89,0.0,0.0
198,2024-12-30,11,Thermostat Install,HVAC,505,Completed,1,89,288.32,222.85
199,2024-12-30,16,Furnace Repair,HVAC,107,Completed,1,143,300.81,196.44
200,2024-12-30,13,Thermostat Install,HVAC,162,Rescheduled,0,74,0.0,0.0
201,2024-12-30,23,Water Heater Repair,Plumbing,452,Rescheduled,0,98,0.0,0.0
202,2024-12-30,6,Water Heater Install,Plumbing,406,Cancelled,0,205,0.0,0.0
203,2024-12-30,17,Outlet & Wiring,Electrical,319,Completed,1,62,164.68,99.73
204,2024-12-30,7,Furnace Repair,HVAC,390,Completed,1,112,298.54,179.77
205,2024-12-30,2,Thermostat Install,HVAC,195,Completed,0,66,244.81,208.36
206,2024-12-30,8,Outlet & Wiring,Electrical,393,Completed,0,66,196.98,95.73
207,2024-12-30,11,Thermostat Install,HVAC,335,Completed,1,83,295.23,221.55
208,2024-12-30,12,Preventive Maintenance,HVAC,559,Completed,0,48,170.96,70.03
209,2024-12-30,18,Thermostat Install,HVAC,255,Rescheduled,0,58,0.0,0.0
210,2024-12-30,7,Furnace Installation,HVAC,595,Cancelled,0,342,0.0,0.0
211,2024-12-31,5,Furnace Installation,HVAC,179,Completed,1,284,4376.33,2925.92
212,2024-12-31,5,Preventive Maintenance,HVAC,484,Completed,1,70,167.7,77.11
213,2024-12-31,9,Furnace Repair,HVAC,452,Completed,1,118,330.98,162.47
214,2024-12-31,8,Outlet & Wiring,Electrical,567,Completed,0,53,183.77,84.19
215,2024-12-31,21,Preventive Maintenance,HVAC,58,Completed,1,76,155.3,83.0
216,2024-12-31,13,Lighting Install,Electrical,145,Completed,1,112,358.69,254.64
217,2024-12-31,8,Thermostat Install,HVAC,358,Cancelled,0,74,0.0,0.0
218,2024-12-31,13,Preventive Maintenance,HVAC,128,Cancelled,0,77,0.0,0.0
219,2024-12-31,20,Drain Cleaning,Plumbing,17,Completed,1,71,226.21,88.75
220,2024-12-31,19,Drain Cleaning,Plumbing,453,Completed,1,53,201.32,84.32
221,2024-12-31,4,Thermostat Install,HVAC,351,Cancelled,0,72,0.0,0.0
222,2024-12-31,22,Heat Pump Service,HVAC,244,Completed,1,91,238.98,139.78
223,2024-12-31,20,Drain Cleaning,Plumbing,125,Completed,0,72,185.59,92.96
224,2024-12-31,13,Heat Pump Service,HVAC,234,Completed,1,82,240.85,132.22
225,2024-12-31,4,Drain Cleaning,Plumbing,111,Completed,1,71,182.9,92.64
226,2024-12-31,20,Water Heater Repair,Plumbing,121,Completed,0,107,340.32,185.42
227,2024-12-31,14,Furnace Installation,HVAC,239,Cancelled,0,417,0.0,0.0
228,2024-12-31,23,Furnace Repair,HVAC,571,Completed,1,112,302.0,205.65
229,2024-12-31,19,Water Heater Repair,Plumbing,583,Completed,1,97,292.53,192.44
230,2025-01-01,3,Lighting Install,Electrical,3,Cancelled,0,161,0.0,0.0
231,2025-01-01,18,Water Heater Repair,Plumbing,83,Completed,0,80,302.6,187.06
232,2025-01-01,5,Furnace Installation,HVAC,86,Completed,1,359,4413.7,3171.77
233,2025-01-01,21,Heat Pump Service,HVAC,423,Completed,0,78,232.34,122.42
234,2025-01-01,20,Preventive Maintenance,HVAC,161,Completed,0,68,164.64,74.94
235,2025-01-01,24,Water Heater Repair,Plumbing,117,Completed,0,98,308.97,208.33
236,2025-01-01,17,AC Repair,HVAC,232,Cancelled,0,107,0.0,0.0
237,2025-01-01,7,Water Heater Install,Plumbing,257,Cancelled,0,205,0.0,0.0
238,2025-01-01,2,AC Installation,HVAC,443,Completed,1,344,3868.75,2874.14
239,2025-01-01,4,Furnace Installation,HVAC,119,Completed,0,305,4019.49,3566.49
240,2025-01-01,9,Drain Cleaning,Plumbing,125,Cancelled,0,80,0.0,0.0
241,2025-01-01,16,Drain Cleaning,Plumbing,101,Completed,1,75,189.87,75.94
242,2025-01-01,3,Heat Pump Service,HVAC,93,Completed,1,108,271.68,130.55
243,2025-01-01,4,Drain Cleaning,Plumbing,260,Completed,1,57,227.53,76.18
244,2025-01-01,7,Drain Cleaning,Plumbing,64,Completed,1,68,227.66,85.81
245,2025-01-01,10,Lighting Install,Electrical,72,Completed,1,106,319.6,240.13
246,2025-01-01,18,Thermostat Install,HVAC,266,Cancelled,0,80,0.0,0.0
247,2025-01-01,21,Lighting Install,Electrical,180,Completed,1,127,380.03,274.15
248,2025-01-01,21,Lighting Install,Electrical,574,Rescheduled,0,95,0.0,0.0
249,2025-01-01,17,Thermostat Install,HVAC,52,Completed,1,62,282.14,173.05
250,2025-01-01,3,Furnace Repair,HVAC,58,Completed,1,142,328.95,193.38
251,2025-01-01,16,Furnace Installation,HVAC,375,Rescheduled,0,387,0.0,0.0
252,2025-01-01,9,AC Repair,HVAC,396,Rescheduled,0,121,0.0,0.0
253,2025-01-01,3,AC Installation,HVAC,466,Completed,0,420,3766.32,2648.76
254,2025-01-01,20,AC Repair,HVAC,542,Rescheduled,0,96,0.0,0.0
255,2025-01-01,19,Outlet & Wiring,Electrical,181,Completed,1,54,198.68,106.51
256,2025-01-01,16,Water Heater Repair,Plumbing,485,Completed,1,128,294.33,180.54
257,2025-01-01,23,Water Heater Repair,Plumbing,471,Completed,1,105,312.33,209.13
258,2025-01-01,6,Thermostat Install,HVAC,479,Completed,1,86,248.65,201.39
259,2025-01-01,22,Water Heater Install,Plumbing,134,Rescheduled,0,165,0.0,0.0
260,2025-01-01,15,Preventive Maintenance,HVAC,143,Completed,1,61,139.05,100.32
261,2025-01-02,7,Water Heater Repair,Plumbing,117,Completed,0,113,344.69,198.69
262,2025-01-02,22,AC Installation,HVAC,11,Cancelled,0,372,0.0,0.0
263,2025-01-02,3,Preventive Maintenance,HVAC,60,Completed,1,60,161.99,58.63
264,2025-01-02,13,Panel Upgrade,Electrical,308,Completed,0,233,2120.36,1442.25
265,2025-01-02,4,Lighting Install,Electrical,118,Rescheduled,0,133,0.0,0.0
266,2025-01-02,14,Furnace Repair,HVAC,8,Completed,1,110,329.34,182.7
267,2025-01-02,24,Thermostat Install,HVAC,544,Completed,1,57,293.2,210.84
268,2025-01-02,20,Panel Upgrade,Electrical,449,Completed,1,266,2207.54,1433.42
269,2025-01-02,21,Leak Detection,Plumbing,542,Completed,1,97,264.78,120.45
270,2025-01-02,16,AC Repair,HVAC,196,Cancelled,0,122,0.0,0.0
271,2025-01-02,24,Preventive Maintenance,HVAC,126,Completed,1,46,133.46,68.01
272,2025-01-02,3,Outlet & Wiring,Electrical,389,Completed,1,70,199.53,91.15
273,2025-01-02,5,Outlet & Wiring,Electrical,60,Completed,1,62,188.65,92.62
274,2025-01-02,17,Thermostat Install,HVAC,113,Cancelled,0,81,0.0,0.0
275,2025-01-02,22,AC Repair,HVAC,273,Completed,1,78,332.98,137.32
276,2025-01-02,18,Preventive Maintenance,HVAC,106,Rescheduled,0,47,0.0,0.0
277,2025-01-02,16,Preventive Maintenance,HVAC,593,Completed,1,86,150.67,77.94
278,2025-01-02,13,Water Heater Repair,Plumbing,499,Completed,0,116,319.84,191.71
279,2025-01-02,2,AC Repair,HVAC,275,Rescheduled,0,84,0.0,0.0
280,2025-01-02,21,Preventive Maintenance,HVAC,413,Completed,0,71,136.52,79.94
281,2025-01-02,22,AC Repair,HVAC,11,Completed,1,107,325.16,168.25
282,2025-01-02,16,Thermostat Install,HVAC,295,Completed,1,87,297.2,196.58
283,2025-01-02,22,Water Heater Install,Plumbing,383,Completed,1,193,1682.37,1265.42
284,2025-01-02,1,Panel Upgrade,Electrical,94,Cancelled,0,216,0.0,0.0
285,2025-01-02,18,Outlet & Wiring,Electrical,317,Completed,0,68,183.68,121.31
286,2025-01-02,8,Thermostat Install,HVAC,331,Cancelled,0,66,0.0,0.0
287,2025-01-02,1,Lighting Install,Electrical,472,Completed,1,83,388.46,266.93
288,2025-01-02,14,Panel Upgrade,Electrical,87,Rescheduled,0,299,0.0,0.0
289,2025-01-03,7,Preventive Maintenance,HVAC,43,Completed,0,68,139.73,77.35
290,2025-01-03,22,Furnace Installation,HVAC,97,Completed,1,376,4562.03,3250.39
291,2025-01-03,2,Outlet & Wiring,Electrical,121,Completed,1,54,191.81,91.46
292,2025-01-03,4,Panel Upgrade,Electrical,219,Completed,1,271,2437.71,1443.01
293,2025-01-03,14,Panel Upgrade,Electrical,472,Completed,1,228,2215.44,1516.96
294,2025-01-03,22,Water Heater Repair,Plumbing,56,Completed,1,90,290.02,172.67
295,2025-01-03,2,AC Repair,HVAC,442,Cancelled,0,89,0.0,0.0
296,2025-01-03,24,Preventive Maintenance,HVAC,63,Completed,1,49,169.12,72.14
297,2025-01-03,15,Panel Upgrade,Electrical,199,Completed,1,217,2067.37,1400.59
298,2025-01-03,8,Water Heater Repair,Plumbing,501,Completed,1,114,298.67,196.43
299,2025-01-03,2,AC Installation,HVAC,553,Completed,1,304,3508.13,3142.68
300,2025-01-03,23,Water Heater Repair,Plumbing,268,Cancelled,0,105,0.0,0.0
301,2025-01-03,6,Panel Upgrade,Electrical,72,Completed,1,291,2094.04,1423.65
302,2025-01-03,16,Water Heater Install,Plumbing,180,Completed,1,272,1911.54,1110.64
303,2025-01-03,4,Outlet & Wiring,Electrical,387,Cancelled,0,64,0.0,0.0
304,2025-01-03,14,Drain Cleaning,Plumbing,260,Completed,0,54,187.24,74.64
305,2025-01-03,18,AC Installation,HVAC,342,Completed,0,340,4416.3,3329.23
306,2025-01-03,16,Furnace Installation,HVAC,297,Completed,1,476,3904.34,3102.46
307,2025-01-03,24,Furnace Repair,HVAC,514,Completed,1,81,359.93,176.1
308,2025-01-03,11,Lighting Install,Electrical,234,Completed,1,140,384.12,282.62
309,2025-01-03,22,Water Heater Install,Plumbing,431,Completed,0,196,1562.48,1115.87
310,2025-01-03,18,Water Heater Repair,Plumbing,445,Completed,1,90,326.21,203.23
311,2025-01-03,14,Heat Pump Service,HVAC,365,Completed,0,81,234.23,129.86
312,2025-01-03,23,Heat Pump Service,HVAC,484,Completed,1,86,224.06,159.18
313,2025-01-03,23,Panel Upgrade,Electrical,557,Cancelled,0,256,0.0,0.0
314,2025-01-03,11,Drain Cleaning,Plumbing,440,Completed,1,72,195.05,91.32
315,2025-01-03,1,Drain Cleaning,Plumbing,299,Completed,1,57,204.54,105.36
316,2025-01-03,6,Water Heater Repair,Plumbing,79,Completed,1,118,291.38,191.05
317,2025-01-03,2,Water Heater Repair,Plumbing,53,Completed,1,99,359.78,189.11
318,2025-01-03,12,Drain Cleaning,Plumbing,396,Cancelled,0,45,0.0,0.0
319,2025-01-03,23,Leak Detection,Plumbing,554,Completed,1,84,212.9,127.6
