invoice_id,job_id,issue_date,amount,status,paid_date
53,71,2024-12-24,260.28,Paid,2025-01-14
54,73,2024-12-24,276.61,Outstanding,
55,74,2024-12-25,244.17,Paid,2025-01-18
56,78,2024-12-27,276.77,Outstanding,
57,79,2024-12-27,258.22,Paid,2025-01-16
58,80,2024-12-25,1676.09,Paid,2025-01-23
59,81,2024-12-25,396.23,Paid,2024-12-26
60,84,2024-12-27,4217.71,Overdue,
61,86,2024-12-27,228.66,Paid,2025-01-03
62,87,2024-12-25,228.23,Outstanding,
63,88,2024-12-26,238.72,Overdue,
64,90,2024-12-25,172.04,Paid,2025-01-07
65,91,2024-12-26,248.93,Paid,2025-01-19
66,92,2024-12-26,4436.76,Paid,2025-01-02
67,93,2024-12-27,199.73,Overdue,
68,94,2024-12-26,1582.78,Outstanding,
69,95,2024-12-27,257.77,Paid,2025-01-03
70,96,2024-12-25,213.74,Paid,2025-01-04
71,97,2024-12-25,4760.21,Paid,2025-01-07
72,98,2024-12-25,1941.65,Paid,2025-01-11
73,99,2024-12-27,1765.08,Paid,2025-01-07
74,100,2024-12-26,2211.96,Overdue,
75,101,2024-12-27,205.79,Paid,2025-01-23
76,102,2024-12-28,322.06,Overdue,
77,103,2024-12-28,262.59,Paid,2025-01-06
78,107,2024-12-27,183.85,Paid,2025-01-24
79,110,2024-12-28,295.43,Paid,2025-01-24
80,111,2024-12-27,1547.54,Paid,2024-12-30
81,113,2024-12-28,299.88,Paid,2025-01-11
82,114,2024-12-27,4703.99,Paid,2025-01-15
83,115,2024-12-28,219.44,Overdue,
84,116,2024-12-28,147.97,Paid,2024-12-30
85,117,2024-12-28,252.38,Outstanding,
86,118,2024-12-27,193.24,Paid,2024-12-31
87,119,2024-12-27,4106.05,Outstanding,
88,120,2024-12-26,1655.02,Overdue,
89,121,2024-12-26,285.24,Overdue,
90,122,2024-12-26,191.55,Overdue,
91,124,2024-12-28,242.42,Paid,2025-01-15
92,125,2024-12-26,2097.12,Paid,2025-01-16
93,126,2024-12-27,357.3,Paid,2025-01-25
94,127,2024-12-28,265.17,Paid,2025-01-19
95,128,2024-12-26,2207.72,Paid,2025-01-13
96,129,2024-12-28,371.73,Paid,2024-12-31
97,130,2024-12-26,4130.46,Paid,2025-01-02
98,134,2024-12-28,223.92,Overdue,
99,135,2024-12-27,4210.19,Paid,2025-01-15
100,136,2024-12-28,263.64,Paid,2025-01-14
101,138,2024-12-28,3814.91,Outstanding,
102,139,2024-12-29,4324.96,Overdue,
103,140,2024-12-29,334.93,Paid,2025-01-25
104,144,2024-12-29,270.86,Paid,2025-01-15
105,145,2024-12-28,310.76,Paid,2025-01-01
106,147,2024-12-28,342.9,Outstanding,
107,148,2024-12-29,2304.5,Outstanding,
108,149,2024-12-28,3554.51,Overdue,
109,150,2024-12-28,150.25,Overdue,
110,151,2024-12-29,314.02,Paid,2025-01-23
111,152,2024-12-27,212.32,Overdue,
112,153,2024-12-27,151.14,Paid,2025-01-17
113,154,2024-12-29,274.12,Paid,2025-01-24
114,156,2024-12-27,248.23,Paid,2025-01-18
115,159,2024-12-28,238.39,Paid,2025-01-04
116,160,2024-12-29,242.15,Outstanding,
117,163,2024-12-28,328.57,Paid,2025-01-04
118,164,2024-12-28,228.03,Paid,2024-12-31
119,167,2024-12-28,252.04,Paid,2025-01-06
120,168,2024-12-29,145.27,Paid,2025-01-04
121,170,2024-12-31,2219.06,Overdue,
122,171,2024-12-29,4279.75,Paid,2025-01-05
123,173,2024-12-31,280.82,Paid,2025-01-23
124,174,2024-12-30,281.47,Paid,2025-01-21
125,176,2024-12-30,136.43,Overdue,
126,177,2024-12-29,269.52,Paid,2025-01-03
127,178,2024-12-30,4381.16,Overdue,
128,179,2024-12-29,3872.06,Overdue,
129,180,2024-12-31,302.13,Paid,2025-01-04
130,181,2024-12-31,210.23,Paid,2025-01-27
131,184,2025-01-01,239.13,Paid,2025-01-05
132,185,2024-12-30,210.95,Outstanding,
133,186,2024-12-31,354.95,Overdue,
134,187,2024-12-31,333.62,Paid,2025-01-14
135,189,2025-01-01,256.99,Paid,2025-01-11
136,190,2024-12-31,261.51,Paid,2025-01-28
137,192,2025-01-01,161.01,Paid,2025-01-14
138,194,2024-12-31,228.18,Paid,2025-01-18
139,195,2025-01-01,353.36,Overdue,
140,196,2024-12-31,4226.76,Overdue,
141,198,2024-12-31,288.32,Overdue,
142,199,2024-12-31,300.81,Overdue,
143,203,2025-01-01,164.68,Paid,2025-01-06
144,204,2024-12-31,298.54,Paid,2025-01-01
145,205,2024-12-30,244.81,Paid,2025-01-11
146,206,2024-12-30,196.98,Overdue,
147,207,2024-12-31,295.23,Paid,2025-01-27
148,208,2024-12-30,170.96,Outstanding,
149,211,2025-01-02,4376.33,Paid,2025-01-28
150,212,2025-01-01,167.7,Outstanding,
151,213,2025-01-01,330.98,Paid,2025-01-27
152,214,2025-01-01,183.77,Overdue,
153,215,2024-12-31,155.3,Paid,2025-01-03
154,216,2025-01-01,358.69,Outstanding,
155,219,2025-01-01,226.21,Outstanding,
156,220,2025-01-02,201.32,Outstanding,
157,222,2025-01-01,238.98,Paid,2025-01-25
158,223,2025-01-02,185.59,Overdue,
159,224,2025-01-02,240.85,Paid,2025-01-09
160,225,2024-12-31,182.9,Paid,2025-01-09
161,226,2024-12-31,340.32,Outstanding,
162,228,2025-01-02,302.0,Paid,2025-01-04
163,229,2024-12-31,292.53,Paid,2025-01-02
164,231,2025-01-01,302.6,Paid,2025-01-06
165,232,2025-01-02,4413.7,Paid,2025-01-13
166,233,2025-01-02,232.34,Paid,2025-01-10
167,234,2025-01-01,164.64,Paid,2025-01-30
168,235,2025-01-01,308.97,Overdue,
169,238,2025-01-01,3868.75,Overdue,
170,239,2025-01-02,4019.49,Paid,2025-01-28
171,241,2025-01-01,189.87,Outstanding,
172,242,2025-01-01,271.68,Paid,2025-01-14
173,243,2025-01-01,227.53,Paid,2025-01-08
174,244,2025-01-01,227.66,Paid,2025-01-18
175,245,2025-01-01,319.6,Outstanding,
176,247,2025-01-01,380.03,Paid,2025-01-02
177,249,2025-01-01,282.14,Paid,2025-01-07
178,250,2025-01-01,328.95,Paid,2025-01-10
179,253,2025-01-01,3766.32,Paid,2025-01-09
180,255,2025-01-02,198.68,Paid,2025-01-27
181,256,2025-01-02,294.33,Overdue,
182,257,2025-01-03,312.33,Paid,2025-01-12
183,258,2025-01-01,248.65,Paid,2025-01-16
184,260,2025-01-01,139.05,Outstanding,
185,261,2025-01-02,344.69,Overdue,
186,263,2025-01-02,161.99,Paid,2025-01-06
187,264,2025-01-03,2120.36,Outstanding,
188,266,2025-01-03,329.34,Paid,2025-01-07
189,267,2025-01-02,293.2,Paid,2025-01-26
190,268,2025-01-03,2207.54,Overdue,
191,269,2025-01-04,264.78,Paid,2025-01-15
192,271,2025-01-02,133.46,Overdue,
193,272,2025-01-03,199.53,Paid,2025-01-24
194,273,2025-01-02,188.65,Overdue,
195,275,2025-01-04,332.98,Overdue,
196,277,2025-01-04,150.67,Paid,2025-01-21
197,278,2025-01-04,319.84,Paid,2025-01-27
198,280,2025-01-03,136.52,Overdue,
199,281,2025-01-03,325.16,Paid,2025-01-06
200,282,2025-01-03,297.2,Overdue,
201,283,2025-01-02,1682.37,Paid,2025-01-24
202,285,2025-01-04,183.68,Overdue,
203,287,2025-01-02,388.46,Paid,2025-01-13
204,289,2025-01-04,139.73,Outstanding,
205,290,2025-01-05,4562.03,Overdue,
206,291,2025-01-04,191.81,Outstanding,
207,292,2025-01-03,2437.71,Paid,2025-02-01
208,293,2025-01-03,2215.44,Paid,2025-02-01
209,294,2025-01-05,290.02,Paid,2025-01-18
210,296,2025-01-03,169.12,Overdue,
211,297,2025-01-04,2067.37,Outstanding,
212,298,2025-01-03,298.67,Paid,2025-01-08
213,299,2025-01-03,3508.13,Paid,2025-01-30
214,301,2025-01-03,2094.04,Outstanding,
215,302,2025-01-05,1911.54,Paid,2025-01-22
216,304,2025-01-03,187.24,Paid,2025-01-21
217,305,2025-01-03,4416.3,Paid,2025-01-11
218,306,2025-01-05,3904.34,Paid,2025-02-03
219,307,2025-01-04,359.93,Paid,2025-01-21
220,308,2025-01-03,384.12,Paid,2025-01-26
221,309,2025-01-05,1562.48,Paid,2025-01-06
222,310,2025-01-05,326.21,Paid,2025-01-07
223,311,2025-01-05,234.23,Paid,2025-01-22
224,312,2025-01-05,224.06,Paid,2025-01-23
225,314,2025-01-04,195.05,Paid,2025-01-18
226,315,2025-01-05,204.54,Paid,2025-01-17
227,316,2025-01-03,291.38,Paid,2025-01-26
228,317,2025-01-03,359.78,Paid,2025-01-25
229,319,2025-01-04,212.9,Overdue,
230,322,2025-01-03,2242.16,Paid,2025-01-09
231,323,2025-01-03,260.63,Overdue,
232,324,2025-01-04,215.95,Paid,2025-01-13
233,326,2025-01-05,300.54,Overdue,
234,327,2025-01-04,268.46,Overdue,
235,328,2025-01-06,341.06,Outstanding,
236,329,2025-01-05,2168.47,Paid,2025-01-24
237,330,2025-01-04,334.03,Overdue,
238,331,2025-01-05,211.49,Paid,2025-01-18
239,332,2025-01-06,2105.81,Paid,2025-02-04
240,333,2025-01-05,397.22,Outstanding,
241,335,2025-01-05,275.68,Paid,2025-01-27
242,336,2025-01-06,4844.22,Outstanding,
243,337,2025-01-04,153.06,Paid,2025-01-31
244,338,2025-01-04,365.66,Paid,2025-01-22
245,339,2025-01-04,4827.56,Outstanding,
246,340,2025-01-04,344.49,Paid,2025-01-05
247,341,2025-01-04,266.21,Outstanding,
248,342,2025-01-04,2381.85,Outstanding,
249,343,2025-01-04,1576.33,Paid,2025-01-14
250,344,2025-01-07,319.43,Overdue,
251,345,2025-01-07,303.16,Outstanding,
252,346,2025-01-06,362.65,Paid,2025-01-13
253,347,2025-01-05,170.81,Paid,2025-01-18
254,348,2025-01-06,183.9,Paid,2025-01-10
255,349,2025-01-05,294.04,Paid,2025-02-03
256,351,2025-01-07,4006.29,Outstanding,
257,353,2025-01-05,244.32,Overdue,
258,354,2025-01-05,4198.04,Paid,2025-01-17
259,355,2025-01-05,1929.22,Paid,2025-01-23
260,357,2025-01-08,190.08,Paid,2025-01-22
261,358,2025-01-07,2372.19,Paid,2025-01-30
262,359,2025-01-06,325.11,Paid,2025-01-28
263,360,2025-01-06,253.98,Paid,2025-01-07
264,361,2025-01-06,321.3,Outstanding,
265,362,2025-01-07,337.41,Paid,2025-02-02
266,363,2025-01-07,227.93,Paid,2025-01-23
267,364,2025-01-06,202.63,Paid,2025-01-14
268,365,2025-01-08,253.62,Paid,2025-01-11
269,367,2025-01-07,199.33,Outstanding,
270,368,2025-01-07,277.05,Paid,2025-01-16
271,370,2025-01-08,1931.78,Paid,2025-02-04
272,371,2025-01-06,242.53,Paid,2025-01-22
273,373,2025-01-06,286.98,Overdue,
274,374,2025-01-06,385.92,Paid,2025-01-29
275,375,2025-01-08,183.78,Paid,2025-01-16
276,376,2025-01-06,360.6,Outstanding,
277,377,2025-01-07,225.97,Paid,2025-01-13
278,379,2025-01-08,140.35,Overdue,
279,380,2025-01-08,158.18,Paid,2025-01-27
280,381,2025-01-08,1563.18,Paid,2025-01-20
281,382,2025-01-07,140.52,Paid,2025-01-19
282,383,2025-01-08,280.47,Overdue,
283,385,2025-01-08,141.77,Paid,2025-01-17
284,386,2025-01-09,162.64,Overdue,
285,387,2025-01-08,160.04,Outstanding,
286,391,2025-01-08,297.21,Paid,2025-01-22
287,392,2025-01-08,198.76,Paid,2025-02-03
288,393,2025-01-09,314.31,Outstanding,
289,394,2025-01-08,140.55,Paid,2025-01-29
290,395,2025-01-09,3537.5,Outstanding,
291,396,2025-01-09,2093.88,Outstanding,
292,397,2025-01-07,139.13,Paid,2025-01-25
293,400,2025-01-07,261.37,Paid,2025-01-14
294,401,2025-01-07,316.48,Paid,2025-01-22
295,402,2025-01-09,347.89,Paid,2025-01-23
296,404,2025-01-09,298.57,Paid,2025-01-18
297,405,2025-01-08,2303.92,Outstanding,
298,406,2025-01-09,4437.69,Paid,2025-01-10
299,407,2025-01-09,4849.11,Outstanding,
300,408,2025-01-09,361.99,Paid,2025-02-02
301,409,2025-01-09,3892.79,Paid,2025-01-11
302,411,2025-01-07,2197.38,Outstanding,
303,412,2025-01-09,349.66,Overdue,
304,415,2025-01-08,294.76,Outstanding,
305,416,2025-01-08,316.21,Paid,2025-01-18
306,417,2025-01-07,356.18,Overdue,
307,418,2025-01-08,360.23,Outstanding,
308,419,2025-01-08,1554.45,Paid,2025-01-23
309,420,2025-01-07,4089.88,Overdue,
310,421,2025-01-07,155.25,Outstanding,
311,422,2025-01-10,192.04,Paid,2025-02-03
312,425,2025-01-08,374.14,Overdue,
313,428,2025-01-10,274.37,Paid,2025-02-08
314,429,2025-01-09,4087.24,Paid,2025-01-14
315,430,2025-01-08,198.59,Paid,2025-02-01
316,433,2025-01-09,203.93,Overdue,
317,435,2025-01-10,4430.86,Paid,2025-01-18
318,436,2025-01-10,335.19,Paid,2025-01-28
319,437,2025-01-08,1627.93,Paid,2025-01-15
320,438,2025-01-09,218.88,Paid,2025-02-08
321,439,2025-01-10,1900.64,Paid,2025-01-21
322,441,2025-01-09,165.22,Overdue,
323,442,2025-01-10,225.37,Paid,2025-01-26
324,443,2025-01-10,196.32,Paid,2025-02-05
325,444,2025-01-09,350.66,Overdue,
326,445,2025-01-08,285.26,Paid,2025-01-10
327,446,2025-01-10,168.68,Paid,2025-02-08
328,447,2025-01-09,181.69,Paid,2025-01-12
329,448,2025-01-09,301.32,Overdue,
330,449,2025-01-08,1941.24,Overdue,
331,450,2025-01-08,286.74,Overdue,
332,451,2025-01-09,4058.5,Overdue,
333,452,2025-01-09,4736.39,Paid,2025-01-13
334,453,2025-01-09,302.18,Overdue,
335,454,2025-01-08,2176.21,Outstanding,
336,456,2025-01-10,162.42,Overdue,
337,457,2025-01-09,259.09,Paid,2025-02-03
338,458,2025-01-11,1767.42,Paid,2025-01-30
339,459,2025-01-09,366.34,Paid,2025-01-16
340,460,2025-01-11,4208.94,Paid,2025-01-13
341,461,2025-01-10,147.37,Outstanding,
342,463,2025-01-09,1725.37,Paid,2025-01-24
343,465,2025-01-10,225.69,Paid,2025-01-30
344,466,2025-01-10,3890.61,Paid,2025-01-22
345,467,2025-01-09,4226.02,Paid,2025-01-11
346,470,2025-01-11,4369.11,Paid,2025-02-10
347,472,2025-01-11,2332.55,Paid,2025-01-19
348,475,2025-01-10,3707.58,Outstanding,
349,478,2025-01-10,4014.04,Outstanding,
350,479,2025-01-11,1765.39,Paid,2025-02-07
351,480,2025-01-11,271.31,Paid,2025-02-04
352,481,2025-01-09,153.64,Paid,2025-02-06
353,482,2025-01-09,4411.08,Outstanding,
354,483,2025-01-09,148.74,Outstanding,
355,484,2025-01-09,1946.17,Overdue,
356,485,2025-01-11,208.38,Paid,2025-01-24
357,486,2025-01-11,2028.46,Overdue,
358,488,2025-01-11,137.66,Overdue,
359,489,2025-01-10,1998.01,Paid,2025-02-03
360,490,2025-01-10,4238.5,Overdue,
361,491,2025-01-10,209.39,Paid,2025-01-21
362,492,2025-01-10,3542.37,Outstanding,
363,495,2025-01-12,151.82,Outstanding,
364,496,2025-01-10,170.22,Paid,2025-01-15
365,497,2025-01-10,2250.58,Overdue,
366,498,2025-01-11,328.14,Paid,2025-02-03
367,499,2025-01-12,168.9,Paid,2025-02-08
368,500,2025-01-12,367.1,Overdue,
369,501,2025-01-11,269.36,Paid,2025-01-18
370,503,2025-01-12,4201.16,Paid,2025-02-06
371,504,2025-01-11,211.78,Paid,2025-01-16
372,505,2025-01-10,4778.44,Outstanding,
373,509,2025-01-10,153.41,Outstanding,
374,510,2025-01-10,180.67,Overdue,
375,512,2025-01-10,246.88,Paid,2025-01-12
376,513,2025-01-11,279.26,Paid,2025-01-21
377,514,2025-01-10,242.42,Paid,2025-01-26
378,517,2025-01-11,235.34,Paid,2025-01-22
379,520,2025-01-10,326.14,Paid,2025-01-13
380,522,2025-01-12,200.25,Paid,2025-01-19
381,523,2025-01-11,1564.15,Paid,2025-02-01
382,525,2025-01-13,289.16,Paid,2025-01-22
383,526,2025-01-11,263.26,Overdue,
384,528,2025-01-11,1901.08,Paid,2025-01-30
385,529,2025-01-11,4388.0,Overdue,
386,530,2025-01-12,1625.21,Outstanding,
387,531,2025-01-11,2431.34,Paid,2025-01-17
388,532,2025-01-12,246.28,Overdue,
389,533,2025-01-13,180.64,Paid,2025-02-04
390,534,2025-01-12,257.32,Paid,2025-02-05
391,535,2025-01-11,310.3,Paid,2025-02-06
392,537,2025-01-12,347.74,Paid,2025-02-01
393,538,2025-01-13,225.38,Paid,2025-01-15
394,539,2025-01-13,4028.02,Outstanding,
395,540,2025-01-14,269.31,Paid,2025-01-27
396,541,2025-01-12,243.82,Overdue,
397,543,2025-01-14,179.63,Paid,2025-01-27
398,545,2025-01-14,304.5,Paid,2025-02-03
399,546,2025-01-12,3994.12,Paid,2025-01-16
400,548,2025-01-12,373.52,Paid,2025-01-16
401,549,2025-01-13,285.42,Paid,2025-01-23
402,550,2025-01-13,320.65,Overdue,
403,551,2025-01-12,3856.41,Paid,2025-02-05
404,554,2025-01-13,4626.93,Paid,2025-01-14
405,555,2025-01-14,300.03,Outstanding,
406,556,2025-01-14,3969.31,Paid,2025-01-18
407,557,2025-01-13,232.31,Outstanding,
408,558,2025-01-15,202.18,Overdue,
409,559,2025-01-13,2211.01,Outstanding,
410,560,2025-01-14,254.07,Overdue,
411,565,2025-01-15,253.68,Paid,2025-01-29
412,566,2025-01-13,335.92,Paid,2025-01-21
413,567,2025-01-15,3990.48,Paid,2025-02-03
414,568,2025-01-15,221.51,Overdue,
415,570,2025-01-14,297.71,Outstanding,
416,571,2025-01-14,226.06,Overdue,
417,572,2025-01-15,390.16,Paid,2025-01-17
418,573,2025-01-15,355.09,Paid,2025-01-20
419,574,2025-01-14,260.33,Paid,2025-02-08
420,575,2025-01-13,224.69,Paid,2025-01-15
421,576,2025-01-15,303.3,Paid,2025-02-10
422,577,2025-01-13,276.67,Paid,2025-01-15
423,578,2025-01-13,361.83,Paid,2025-01-22
424,580,2025-01-15,167.97,Outstanding,
425,581,2025-01-14,352.53,Paid,2025-01-20
426,583,2025-01-16,300.96,Paid,2025-02-03
427,584,2025-01-14,4036.16,Paid,2025-01-22
428,585,2025-01-15,4127.05,Paid,2025-02-05
429,586,2025-01-14,4747.29,Outstanding,
430,587,2025-01-15,150.91,Overdue,
431,588,2025-01-14,299.48,Outstanding,
432,589,2025-01-15,190.2,Outstanding,
433,590,2025-01-14,4184.04,Outstanding,
434,591,2025-01-16,295.82,Paid,2025-01-27
435,592,2025-01-16,204.42,Paid,2025-02-14
436,593,2025-01-15,1855.63,Paid,2025-02-14
437,594,2025-01-14,4151.77,Paid,2025-02-05
438,595,2025-01-16,317.75,Paid,2025-02-08
439,596,2025-01-16,185.04,Paid,2025-02-01
440,597,2025-01-16,293.5,Overdue,
441,598,2025-01-14,223.49,Paid,2025-02-03
442,599,2025-01-16,304.92,Outstanding,
443,600,2025-01-16,4352.61,Outstanding,
444,601,2025-01-14,348.16,Paid,2025-02-05
445,603,2025-01-15,299.67,Paid,2025-01-16
446,604,2025-01-15,222.64,Overdue,
447,606,2025-01-14,245.85,Outstanding,
448,607,2025-01-16,2245.31,Paid,2025-01-26
449,608,2025-01-14,1780.87,Outstanding,
450,610,2025-01-15,246.39,Outstanding,
451,611,2025-01-14,2008.53,Paid,2025-01-28
452,612,2025-01-16,220.06,Overdue,
453,613,2025-01-16,203.78,Paid,2025-02-07
454,614,2025-01-15,250.92,Paid,2025-01-16
455,615,2025-01-16,3698.31,Paid,2025-01-23
456,616,2025-01-16,4437.41,Paid,2025-01-27
457,617,2025-01-15,1631.52,Outstanding,
458,618,2025-01-17,325.07,Outstanding,
459,621,2025-01-15,319.09,Paid,2025-01-30
460,623,2025-01-16,311.97,Overdue,
461,624,2025-01-15,346.81,Outstanding,
462,625,2025-01-17,1942.54,Paid,2025-01-27
463,626,2025-01-16,243.67,Paid,2025-02-06
464,627,2025-01-16,1944.02,Paid,2025-01-23
465,630,2025-01-17,184.32,Overdue,
466,631,2025-01-17,254.18,Overdue,
467,633,2025-01-17,2157.55,Outstanding,
468,635,2025-01-16,4432.64,Paid,2025-02-07
469,636,2025-01-16,262.54,Paid,2025-02-09
470,637,2025-01-17,287.96,Paid,2025-01-26
471,638,2025-01-17,292.72,Paid,2025-01-23
472,639,2025-01-15,229.39,Overdue,
473,640,2025-01-17,400.9,Overdue,
474,641,2025-01-15,1727.81,Outstanding,
475,643,2025-01-16,257.46,Overdue,
476,644,2025-01-16,229.44,Overdue,
477,645,2025-01-16,350.57,Paid,2025-01-26
478,646,2025-01-17,198.35,Overdue,
479,647,2025-01-16,346.85,Paid,2025-01-18
480,648,2025-01-17,2037.79,Paid,2025-01-18
481,649,2025-01-18,3648.89,Overdue,
482,650,2025-01-17,182.45,Paid,2025-02-01
483,653,2025-01-17,392.61,Paid,2025-02-06
484,654,2025-01-16,4630.19,Paid,2025-01-31
485,655,2025-01-18,262.06,Outstanding,
486,657,2025-01-16,190.0,Outstanding,
487,658,2025-01-17,4015.64,Paid,2025-02-16
488,660,2025-01-17,4725.74,Paid,2025-02-02
489,661,2025-01-17,181.27,Paid,2025-02-16
490,662,2025-01-17,299.84,Overdue,
491,663,2025-01-17,199.68,Paid,2025-02-14
492,664,2025-01-16,293.13,Overdue,
493,667,2025-01-18,3998.74,Paid,2025-02-03
494,668,2025-01-18,4929.03,Overdue,
495,669,2025-01-17,255.95,Paid,2025-02-13
496,670,2025-01-16,4433.47,Paid,2025-02-06
497,671,2025-01-18,345.45,Overdue,
498,672,2025-01-17,3518.31,Outstanding,
499,673,2025-01-18,2015.42,Outstanding,
500,674,2025-01-18,338.49,Paid,2025-01-25
501,675,2025-01-16,221.5,Paid,2025-01-29
502,676,2025-01-18,2251.8,Paid,2025-01-29
503,677,2025-01-18,3873.06,Paid,2025-02-12
504,679,2025-01-18,161.36,Paid,2025-02-05
505,680,2025-01-19,3756.13,Paid,2025-02-11
506,681,2025-01-19,261.42,Outstanding,
507,683,2025-01-18,4461.3,Paid,2025-02-16
508,684,2025-01-19,233.7,Outstanding,
509,685,2025-01-19,391.42,Overdue,
510,686,2025-01-19,1616.23,Outstanding,
511,687,2025-01-17,4477.05,Paid,2025-02-02
512,688,2025-01-17,2194.5,Paid,2025-01-30
513,689,2025-01-17,257.76,Paid,2025-02-12
514,690,2025-01-18,331.33,Outstanding,
515,691,2025-01-18,231.97,Paid,2025-02-13
516,692,2025-01-19,2311.64,Paid,2025-01-29
517,693,2025-01-17,4270.58,Paid,2025-01-21
518,694,2025-01-19,292.32,Paid,2025-02-12
519,695,2025-01-17,210.11,Paid,2025-01-23
520,697,2025-01-19,2235.85,Paid,2025-01-30
521,698,2025-01-19,235.96,Overdue,
522,700,2025-01-19,4598.07,Paid,2025-01-30
523,701,2025-01-17,302.91,Overdue,
524,702,2025-01-18,240.32,Paid,2025-02-03
525,704,2025-01-19,1914.9,Overdue,
526,705,2025-01-19,341.2,Outstanding,
527,708,2025-01-19,191.46,Paid,2025-02-08
528,710,2025-01-18,246.51,Paid,2025-02-01
529,711,2025-01-20,2380.1,Paid,2025-02-03
530,712,2025-01-20,190.18,Paid,2025-02-05
531,713,2025-01-19,138.04,Outstanding,
532,714,2025-01-19,155.85,Paid,2025-02-09
533,715,2025-01-19,185.44,Paid,2025-01-20
534,719,2025-01-18,164.69,Paid,2025-01-22
535,720,2025-01-18,1785.85,Paid,2025-01-23
536,721,2025-01-18,4446.08,Paid,2025-02-16
537,724,2025-01-20,327.3,Paid,2025-01-26
538,726,2025-01-19,4589.65,Overdue,
539,728,2025-01-20,400.3,Paid,2025-02-06
540,729,2025-01-19,190.43,Overdue,
541,732,2025-01-20,284.01,Paid,2025-01-23
542,733,2025-01-21,254.83,Paid,2025-01-31
543,734,2025-01-20,1575.73,Paid,2025-01-28
544,735,2025-01-20,172.85,Paid,2025-01-27
545,736,2025-01-21,294.76,Paid,2025-02-11
546,737,2025-01-20,272.09,Outstanding,
547,739,2025-01-20,350.73,Outstanding,
548,741,2025-01-20,228.16,Paid,2025-02-16
549,742,2025-01-21,342.5,Paid,2025-02-13
550,745,2025-01-21,4121.54,Outstanding,
551,746,2025-01-22,232.18,Paid,2025-02-20
552,747,2025-01-20,264.53,Paid,2025-02-06
553,748,2025-01-22,1824.9,Outstanding,
554,749,2025-01-22,308.57,Overdue,
555,750,2025-01-21,186.72,Paid,2025-02-05
556,751,2025-01-21,365.38,Paid,2025-02-20
557,752,2025-01-21,237.32,Paid,2025-01-26
558,754,2025-01-22,3539.73,Paid,2025-02-21
559,755,2025-01-21,197.06,Paid,2025-02-13
560,756,2025-01-20,223.39,Paid,2025-01-22
561,757,2025-01-21,223.62,Paid,2025-02-09
562,759,2025-01-22,143.63,Paid,2025-02-18
563,760,2025-01-20,392.44,Paid,2025-01-30
564,761,2025-01-22,332.0,Paid,2025-02-11
565,762,2025-01-22,1586.7,Paid,2025-01-30
566,764,2025-01-21,228.18,Outstanding,
